,element,orbital,weight,Hartree-Fock binding energies
330,Pr,5s,0.0033,39.6
331,Pr,4d,0.103,123.5
332,Pr,5p,0.0093,25.0
333,Pr,6s,0.00038,4.6
334,Pr,4f,0.004,11.0
335,Nd,3s,0.065,1423.0
336,Nd,3p,0.276,1278.2
337,Nd,4s,0.019,284.3
338,Nd,3d,0.828,1006.0
339,Nd,4p,0.067,228.6
340,Nd,5s,0.0034,40.7
341,Nd,4d,0.11,129.6
342,Nd,5p,0.0097,25.6
343,Nd,6s,0.00034,4.7
344,Nd,4f,0.0063,11.8
345,Pm,3s,0.068,1484.9
346,Pm,3p,0.283,1336.3
347,Pm,4s,0.02,295.8
348,Pm,3d,0.89,1057.2
349,Pm,4p,0.07,238.3
350,Pm,5s,0.0035,41.8
351,Pm,4d,0.118,135.7
352,Pm,5p,0.01,26.2
353,Pm,6s,0.00028,4.8
354,Pm,4f,0.0093,12.5
355,Sm,3p,0.289,1395.4
356,Sm,4s,0.021,307.3
357,Sm,3d,0.955,1109.3
358,Sm,4p,0.073,248.0
359,Sm,5s,0.0037,42.8
360,Sm,4d,0.125,141.7
361,Sm,5p,0.01,26.7
362,Sm,6s,0.00029,4.8
363,Sm,4f,0.012,13.1
364,Eu,3p,0.291,1455.5
365,Eu,4s,0.021,319.0
366,Eu,3d,1.02,1162.4
367,Eu,4p,0.075,257.7
368,Eu,5s,0.0038,43.9
369,Eu,4d,0.133,147.8
370,Eu,5p,0.01,27.3
371,Eu,6s,0.00035,4.9
372,Eu,4f,0.017,13.7
373,Gd,4s,0.022,339.5
374,Gd,3d,1.09,1226.2
375,Gd,4p,0.079,276.2
376,Gd,5s,0.0041,48.5
377,Gd,4d,0.142,162.3
378,Gd,5p,0.011,30.9
379,Gd,6s,0.00043,5.3
380,Gd,5d,0.00094,5.9
381,Gd,4f,0.021,21.6
382,Tb,4s,0.023,342.4
383,Tb,3d,1.17,1271.3
384,Tb,4p,0.081,277.2
385,Tb,5s,0.004,45.9
386,Tb,4d,0.148,159.9
387,Tb,5p,0.011,28.3
388,Tb,6s,0.00036,4.9
389,Tb,4f,0.029,14.6
390,Dy,4s,0.024,354.2
391,Dy,3d,1.25,1327.3
392,Dy,4p,0.084,287.1
393,Dy,5s,0.0041,46.9
394,Dy,4d,0.156,165.9
395,Dy,5p,0.011,28.8
396,Dy,6s,0.00031,5.0
397,Dy,4f,0.037,14.9
398,Ho,4s,0.024,366.1
399,Ho,3d,1.33,1384.2
400,Ho,4p,0.086,297.1
401,Ho,5s,0.0042,47.9
402,Ho,4d,0.165,172.1
403,Ho,5p,0.011,29.3
404,Ho,6s,0.00027,5.0
405,Ho,4f,0.046,15.3
406,Er,4s,0.025,378.2
407,Er,3d,1.35,1442.1
408,Er,4p,0.089,307.1
409,Er,5s,0.0043,48.9
410,Er,4d,0.172,178.2
411,Er,5p,0.011,29.8
412,Er,6s,0.00031,5.1
413,Er,4f,0.056,15.5
414,Tm,4s,0.026,390.3
415,Tm,4p,0.091,317.2
416,Tm,5s,0.0044,49.9
417,Tm,4d,0.18,184.4
418,Tm,5p,0.011,30.3
419,Tm,6s,0.00037,5.1
420,Tm,4f,0.069,15.8
421,Yb,4s,0.026,402.6
422,Yb,4p,0.093,327.5
423,Yb,5s,0.0045,50.9
424,Yb,4d,0.187,190.7
425,Yb,5p,0.012,30.8
426,Yb,6s,0.00039,5.2
427,Yb,4f,0.082,16.0
428,Lu,4s,0.027,424.6
429,Lu,4p,0.096,347.3
430,Lu,5s,0.0048,56.1
431,Lu,4d,0.198,206.3
432,Lu,5p,0.013,34.8
433,Lu,6s,0.00046,5.7
434,Lu,4f,0.096,24.6
435,Lu,5d,0.00097,5.3
436,Hf,4s,0.028,447.3
437,Hf,4p,0.099,367.8
438,Hf,5s,0.0052,61.1
439,Hf,4d,0.205,222.5
440,Hf,5p,0.014,38.6
441,Hf,6s,0.00047,6.0
442,Hf,4f,0.111,33.8
443,Hf,5d,0.0024,6.7
444,Ta,4s,0.029,470.7
445,Ta,4p,0.103,389.0
446,Ta,5s,0.0055,66.0
447,Ta,4d,0.215,239.3
448,Ta,5p,0.015,42.4
449,Ta,6s,0.00054,6.3
450,Ta,4f,0.127,43.5
451,Ta,5d,0.0042,8.0
452,W,4s,0.03,494.8
453,W,4p,0.106,410.9
454,W,5s,0.0059,70.9
455,W,4d,0.224,256.8
456,W,5p,0.016,46.1
457,W,6s,0.00054,6.6
458,W,4f,0.145,53.9
459,W,5d,0.0065,9.3
460,Re,4s,0.031,519.5
461,Re,4p,0.109,433.3
462,Re,5s,0.0063,75.8
463,Re,4d,0.235,274.8
464,Re,5p,0.017,49.8
465,Re,6s,0.00054,6.8
466,Re,4f,0.163,64.8
467,Re,5d,0.0091,10.6
468,Os,4s,0.032,544.9
469,Os,4p,0.112,456.4
470,Os,5s,0.0066,80.7
471,Os,4d,0.244,293.4
472,Os,5p,0.019,53.4
473,Os,6s,0.00059,7.0
474,Os,4f,0.183,76.3
475,Os,5d,0.012,11.9
476,Ir,4s,0.033,570.8
477,Ir,4p,0.116,480.1
478,Ir,5s,0.007,85.6
479,Ir,4d,0.254,312.6
480,Ir,5p,0.02,57.1
481,Ir,6s,0.00058,7.2
482,Ir,4f,0.204,88.4
483,Ir,5d,0.016,13.3
