1.1.1 P1		1.1.1 1
58.7.477 Pn'n'm'		8.5.28 m'm'm'
59.1.478 Pmmn		8.1.24 mmm
59.2.479 Pmmn1'		8.2.25 mmm1'
59.3.480 Pm'mn		8.3.26 m'mm
59.4.481 Pmmn'		8.3.26 mmm'
59.5.482 Pm'm'n		8.4.27 m'm'm
59.6.483 Pmm'n'		8.4.27 mm'm'
59.7.484 Pm'm'n'		8.5.28 m'm'm'
59.8.485 P_cmmn		8.2.25 mmm1'
59.9.486 P_anma		8.2.25 mmm1'
59.10.487 P_cccn		8.2.25 mmm1'
60.1.488 Pbcn		8.1.24 mmm
60.2.489 Pbcn1'		8.2.25 mmm1'
60.3.490 Pb'cn		8.3.26 m'mm
60.4.491 Pbc'n		8.3.26 mm'm
60.5.492 Pbcn'		8.3.26 mmm'
60.6.493 Pb'c'n		8.4.27 m'm'm
60.7.494 Pbc'n'		8.4.27 mm'm'
60.8.495 Pb'cn'		8.4.27 m'mm'
60.9.496 Pb'c'n'		8.5.28 m'm'm'
61.1.497 Pbca		8.1.24 mmm
61.2.498 Pbca1'		8.2.25 mmm1'
61.3.499 Pb'ca		8.3.26 m'mm
61.4.500 Pb'c'a		8.4.27 m'm'm
61.5.501 Pb'c'a'		8.5.28 m'm'm'
62.1.502 Pnma		8.1.24 mmm
62.2.503 Pnma1'		8.2.25 mmm1'
62.3.504 Pn'ma		8.3.26 m'mm
62.4.505 Pnm'a		8.3.26 mm'm
62.5.506 Pnma'		8.3.26 mmm'
62.6.507 Pn'm'a		8.4.27 m'm'm
62.7.508 Pnm'a'		8.4.27 mm'm'
62.8.509 Pn'ma'		8.4.27 m'mm'
62.9.510 Pn'm'a'		8.5.28 m'm'm'
63.1.511 Cmcm		8.1.24 mmm
63.2.512 Cmcm1'		8.2.25 mmm1'
63.3.513 Cm'cm		8.3.26 m'mm
63.4.514 Cmc'm		8.3.26 mm'm
63.5.515 Cmcm'		8.3.26 mmm'
63.6.516 Cm'c'm		8.4.27 m'm'm
63.7.517 Cmc'm'		8.4.27 mm'm'
63.8.518 Cm'cm'		8.4.27 m'mm'
63.9.519 Cm'c'm'		8.5.28 m'm'm'
63.10.520 P_Amma		8.2.25 mmm1'
63.11.521 P_Cbcm		8.2.25 mmm1'
63.12.522 P_Bmmn		8.2.25 mmm1'
63.13.523 P_Anma		8.2.25 mmm1'
63.14.524 P_Bnma		8.2.25 mmm1'
63.15.525 P_Bnnm		8.2.25 mmm1'
63.16.526 P_Cbcn		8.2.25 mmm1'
63.17.527 P_Bnna		8.2.25 mmm1'
64.1.528 Cmca		8.1.24 mmm
64.2.529 Cmca1'		8.2.25 mmm1'
64.3.530 Cm'ca		8.3.26 m'mm
64.4.531 Cmc'a		8.3.26 mm'm
64.5.532 Cmca'		8.3.26 mmm'
64.6.533 Cm'c'a		8.4.27 m'm'm
64.7.534 Cmc'a'		8.4.27 mm'm'
64.8.535 Cm'ca'		8.4.27 m'mm'
64.9.536 Cm'c'a'		8.5.28 m'm'm'
64.10.537 P_Abam		8.2.25 mmm1'
64.11.538 P_Acca		8.2.25 mmm1'
64.12.539 P_Cnma		8.2.25 mmm1'
64.13.540 P_Bbcm		8.2.25 mmm1'
64.14.541 P_Accn		8.2.25 mmm1'
64.15.542 P_Cmna		8.2.25 mmm1'
64.16.543 P_Cbca		8.2.25 mmm1'
64.17.544 P_Abcn		8.2.25 mmm1'
65.1.545 Cmmm		8.1.24 mmm
65.2.546 Cmmm1'		8.2.25 mmm1'
65.3.547 Cm'mm		8.3.26 m'mm
65.4.548 Cmmm'		8.3.26 mmm'
65.5.549 Cm'm'm		8.4.27 m'm'm
65.6.550 Cmm'm'		8.4.27 mm'm'
65.7.551 Cm'm'm'		8.5.28 m'm'm'
65.8.552 C_cmmm		8.2.25 mmm1'
65.9.553 P_Cmmm		8.2.25 mmm1'
65.10.554 I_cmmm		8.2.25 mmm1'
65.11.555 C_cccm		8.2.25 mmm1'
65.12.556 C_cmcm		8.2.25 mmm1'
65.13.557 P_Bmma		8.2.25 mmm1'
65.14.558 P_Cmmn		8.2.25 mmm1'
65.15.559 P_Cbam		8.2.25 mmm1'
65.16.560 P_Bmna		8.2.25 mmm1'
65.17.561 P_Cban		8.2.25 mmm1'
65.18.562 I_bmma		8.2.25 mmm1'
65.19.563 I_cbam		8.2.25 mmm1'
66.1.564 Cccm		8.1.24 mmm
66.2.565 Cccm1'		8.2.25 mmm1'
66.3.566 Cc'cm		8.3.26 m'mm
66.4.567 Cccm'		8.3.26 mmm'
66.5.568 Cc'c'm		8.4.27 m'm'm
66.6.569 Ccc'm'		8.4.27 mm'm'
66.7.570 Cc'c'm'		8.5.28 m'm'm'
66.8.571 P_Cccm		8.2.25 mmm1'
66.9.572 P_Amna		8.2.25 mmm1'
66.10.573 P_Cccn		8.2.25 mmm1'
66.11.574 P_Cnnm		8.2.25 mmm1'
66.12.575 P_Anna		8.2.25 mmm1'
66.13.576 P_Cnnn		8.2.25 mmm1'
